"","Plot_ID","AOS_year","AOS_pest","AOS_severity","Burn_status","dNBR_count","dNBR_mean","dNBR_median","dNBR_min","dNBR_max","dNBR_range","Fire_ID","Fire_Name","CBI_A","CBI_B","CBI_C","CBC_D","CBI_US","CBI_OS","CBI_TOT","Elevation","Aspect","Slope_.","UTM_Zone","Sam_SPEC_CD_1","Sam_SPEC_PCT_1","Sam_SPEC_CD_2","Sam_SPEC_PCT_2","Sam_SPEC_CD_3","Sam_SPEC_PCT_3","satellite","PLI_PC","SX_PC","BL_PC","FDI_PC","SB_PC","SE_PC","AT_PC","ACT_PC","conifer_PC","broadleaf_PC","CBI_dNBR_VRI_March2021_csv_new_test","CBI_dNBR_VRI_March2021_csv_AOS_YEAR","CBI_dNBR_VRI_March2021_csv_AOS_FHF","CBI_dNBR_VRI_March2021_csv_AOS_SEV","BUFF_DIST","FEATURE_ID","MAP_ID","POLYGON_ID","OPENING_IND","POLYGON_AREA","SURFACE_EXPRESSION","MODIFYING_PROCESS","SITE_POSITION_MESO","SOIL_NUTRIENT_REGIME","BCLCS_LEVEL_2","BCLCS_LEVEL_3","BCLCS_LEVEL_4","BCLCS_LEVEL_5","REFERENCE_YEAR","ATTRIBUTION_BASE_DATE","PROJECTED_DATE","SHRUB_HEIGHT","SHRUB_CROWN_CLOSURE","SHRUB_COVER_PATTERN","HERB_COVER_TYPE","HERB_COVER_PATTERN","HERB_COVER_PCT","BRYOID_COVER_PCT","NON_VEG_COVER_PATTERN_1","NON_VEG_COVER_PCT_1","NON_VEG_COVER_TYPE_1","NON_VEG_COVER_PATTERN_2","NON_VEG_COVER_PCT_2","NON_VEG_COVER_TYPE_2","NON_VEG_COVER_PATTERN_3","NON_VEG_COVER_PCT_3","NON_VEG_COVER_TYPE_3","NON_VEG_COVER_SUM","LAND_COVER_CLASS_CD_1","EST_COVERAGE_PCT_1","SOIL_MOISTURE_REGIME_1","LAND_COVER_CLASS_CD_2","EST_COVERAGE_PCT_2","SOIL_MOISTURE_REGIME_2","LAND_COVER_CLASS_CD_3","EST_COVERAGE_PCT_3","SOIL_MOISTURE_REGIME_3","ORG_UNIT_CODE","BEC_ZONE_CODE","BEC_SUBZONE","BEC_VARIANT","BEC_PHASE","EARLIEST_NONLOGGING_DIST_TYPE","EARLIEST_NONLOGGING_DIST_DATE","STAND_PERCENTAGE_DEAD","FREE_TO_GROW_IND","HARVEST_DATE","QUAD_DIAM_125","EST_SITE_INDEX_SPECIES_CD","EST_SITE_INDEX","CROWN_CLOSURE","CROWN_CLOSURE_CLASS_CD","SITE_INDEX","BASAL_AREA","VRI_LIVE_STEMS_PER_HA","VRI_DEAD_STEMS_PER_HA","TREE_COVER_PATTERN","VERTICAL_COMPLEXITY","SPECIES_CD_1","SPECIES_PCT_1","SPECIES_CD_2","SPECIES_PCT_2","SPECIES_CD_3","SPECIES_PCT_3","SPECIES_CD_4","SPECIES_PCT_4","SPECIES_CD_5","SPECIES_PCT_5","SPECIES_CD_6","SPECIES_PCT_6","PROJ_AGE_1","PROJ_AGE_CLASS_CD_1","PROJ_AGE_2","PROJ_AGE_CLASS_CD_2","PROJ_HEIGHT_1","PROJ_HEIGHT_CLASS_CD_1","PROJ_HEIGHT_2","PROJ_HEIGHT_CLASS_CD_2","LIVE_VOL_PER_HA_SPP1_125","LIVE_VOL_PER_HA_SPP2_125","LIVE_VOL_PER_HA_SPP3_125","LIVE_VOL_PER_HA_SPP4_125","LIVE_STAND_VOLUME_125","DEAD_STAND_VOLUME_125","WHOLE_STEM_BIOMASS_PER_HA","BRANCH_BIOMASS_PER_HA","FOLIAGE_BIOMASS_PER_HA","BARK_BIOMASS_PER_HA","UTM_E","UTM_N","OPENING_ID","OPENING_ST","APPROVE_DA","DISTURBANC","DISTURBA_1","DENUDATION","DENUDATI_1","DENUDATI_2","DENUDATI_3","DENUDATI_4","DENUDATI_5","DENUDATI_6","DENUDATI_7","DENUDATI_8","DENUDATI_9","DENUDAT_10","SITE_PREP_","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","PLANTING_1","PLANTING_2","PLANTING_3","PLANTING_4","PLANTING_5","PLANTING_6","PLANTING_C","BRUSHING_T","BRUSHING_1","BRUSHING_C","BRUSHING_2","SPACING_TR","SPACING_CO","SPACING__1","FERTILIZAT","FERTILIZ_1","FERTILIZ_2","PRUNING_TR","PRUNING_CO","PRUNING__1","SLOPE","ASPECT","coords.x1","coords.x2","optional"
"48","BS037",2008,"IBM","S","Unburned",7,-0.039327136,-0.039449573,-0.050596297,-0.031247199,0.019349098,"R21721","Nadina",0,0,0,0,0,0,0,862.911682,"not recorded","not recorded",9,"PLI",80,"BL",10,"SX",5,"Sentinel 2",80,5,10,0,0,0,5,0,95,5,100,2008,"IBM","S",30,10811913,"093L007",92130556,"N",79.3,"N","N","M","D","T","U","TC","DE",2013,2015-02-10,2016-01-01,1.5,5,3,"HE",3,5,5,2,2,"RZ",3,1,"LL",NA,NA,"",3,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"Y",1979-01-01,15.027,"PLI",18,65,6,18,22.29557,2040,20,8,2,"PLI",80,"BL",10,"SX",5,"AT",5,NA,NA,NA,NA,28,2,37,2,12,2,12,2,24.016,6.261,0.93,0.761,31.968,NA,35.819,4.801,4.009,3.945,646344,5990125,-514030000,"FG",1979-06-01,1979-06-01,1979-07-01,"L","CLEAR",NA,NA,1979-07-01,NA,NA,NA,NA,NA,1,"ME",2,1980-07-01,"BU",2,1979-07-01,3,"PL",73,1983-05-01,NA,0,NA,1,"MA",46.6,1992-10-01,1,0,NA,0,0,NA,0,0,NA,0,6.3,129.2,950005.803205753,1004186.93231713,TRUE
"48.1","BS037",2008,"IBM","S","Unburned",7,-0.039327136,-0.039449573,-0.050596297,-0.031247199,0.019349098,"R21721","Nadina",0,0,0,0,0,0,0,862.911682,"not recorded","not recorded",9,"PLI",80,"BL",10,"SX",5,"Sentinel 2",80,5,10,0,0,0,5,0,95,5,100,2008,"IBM","S",30,10811913,"093L007",92130556,"N",79.3,"N","N","M","D","T","U","TC","DE",2013,2015-02-10,2016-01-01,1.5,5,3,"HE",3,5,5,2,2,"RZ",3,1,"LL",NA,NA,"",3,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"Y",1979-01-01,15.027,"PLI",18,65,6,18,22.29557,2040,20,8,2,"PLI",80,"BL",10,"SX",5,"AT",5,NA,NA,NA,NA,28,2,37,2,12,2,12,2,24.016,6.261,0.93,0.761,31.968,NA,35.819,4.801,4.009,3.945,646344,5990125,1727264,"FG",2019-09-12,2018-07-31,2018-09-01,"B",NA,NA,NA,2018-09-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,6.3,122.5,950005.803205753,1004186.93231713,TRUE
"49","BS038",2006,"IBM","M","High",7,0.8491663,0.83136183,0.742733836,0.93212533,0.189391494,"R21721","Nadina",2.4,2,1.63,1.9,2.04,1.9,2,904.228027,"200","35",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,10837062,"093L006",74548291,"N",9.7,"N","N","M","C","N","U","SL","OP",2013,2015-01-18,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2013-01-01,67,"N",NA,26.295,"",NA,4,0,11.4,1.04601,20,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,2.996,0.442,NA,NA,3.438,10.459,2.54,0.441,0.103,0.535,643846,5985871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947336.454388338,1000030.55834458,TRUE
"50","BS039",2006,"IBM","M","High",8,0.853378631,0.880551398,0.769083619,0.914087296,0.145003676,"R21721","Nadina",2.38,2,2.88,2,2.42,2,2.29,835.339539,"211","29",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,13765985,"9.30E+98",74747922,"N",13.3,"N","N","M","C","N","U","SL","OP",2013,2015-01-03,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,26.402,"",NA,4,0,11.4,1.41409,27,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,4.381,0.624,NA,NA,5.005,NA,3.687,0.639,0.149,0.778,643675,5985745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947160.715144749,999911.563894301,TRUE
"51","BS039",2006,"IBM","M","High",8,0.853378631,0.880551398,0.769083619,0.914087296,0.145003676,"R21721","Nadina",2.38,2,2.88,2,2.42,2,2.29,835.339539,"211","29",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,10837062,"093L006",74548291,"N",9.7,"N","N","M","C","N","U","SL","OP",2013,2015-01-18,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2013-01-01,67,"N",NA,26.295,"",NA,4,0,11.4,1.04601,20,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,2.996,0.442,NA,NA,3.438,10.459,2.54,0.441,0.103,0.535,643675,5985745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947160.715144749,999911.563894301,TRUE
"52","BS040",2006,"IBM","M","Medium",7,0.359046093,0.351030052,0.199702263,0.584793746,0.385091484,"R21721","Nadina",1.4,2,2,1.2,1.77,1.2,1.61,869.359192,"218","not recorded",9,"AT",85,"SX",15,"",0,"Sentinel 2",0,15,0,0,0,0,85,0,15,85,100,2006,"IBM","M",30,10837526,"093L006",70158266,"N",22.6,"N","N","M","C","T","U","TB","SP",2013,2015-01-18,2016-01-01,0.4,15,3,"HE",8,45,NA,2,3,"RZ",NA,NA,"",NA,NA,"",3,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,31.826,"",NA,25,2,18.9,16.967199,214,5,6,3,"AT",85,"SX",15,"",NA,"",NA,NA,NA,NA,NA,48,3,48,3,17.8,2,16.3,2,64.575,11.89,NA,NA,76.465,NA,44.846,7.824,1.931,9.273,643303,5985769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946791.017916136,999951.390113548,TRUE
"53","BS041",2006,"IBM","M","Medium",7,0.606644026,0.614273906,0.505409539,0.714444935,0.209035397,"R21721","Nadina",2.38,2.5,0,1.6,1.63,1.6,1.62,838.717224,"204","26",9,"AT",85,"SX",15,"",0,"Sentinel 2",0,15,0,0,0,0,85,0,15,85,100,2006,"IBM","M",30,10837526,"093L006",70158266,"N",22.6,"N","N","M","C","T","U","TB","SP",2013,2015-01-18,2016-01-01,0.4,15,3,"HE",8,45,NA,2,3,"RZ",NA,NA,"",NA,NA,"",3,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,31.826,"",NA,25,2,18.9,16.967199,214,5,6,3,"AT",85,"SX",15,"",NA,"",NA,NA,NA,NA,NA,48,3,48,3,17.8,2,16.3,2,64.575,11.89,NA,NA,76.465,NA,44.846,7.824,1.931,9.273,643134,5985943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946629.964849161,1000132.90106239,TRUE
"54","BS042",2006,"IBM","M","High",7,0.587869533,0.59104991,0.524794757,0.624170959,0.099376202,"R21721","Nadina",2,2.5,0,1.7,1.5,1.7,1.56,844.184998,"150","24",9,"AT",85,"SX",15,"",0,"Sentinel 2",0,15,0,0,0,0,85,0,15,85,100,2006,"IBM","M",30,10837526,"093L006",70158266,"N",22.6,"N","N","M","C","T","U","TB","SP",2013,2015-01-18,2016-01-01,0.4,15,3,"HE",8,45,NA,2,3,"RZ",NA,NA,"",NA,NA,"",3,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,31.826,"",NA,25,2,18.9,16.967199,214,5,6,3,"AT",85,"SX",15,"",NA,"",NA,NA,NA,NA,NA,48,3,48,3,17.8,2,16.3,2,64.575,11.89,NA,NA,76.465,NA,44.846,7.824,1.931,9.273,642819,5985750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946307.888167891,999952.882184776,TRUE
"55","BS043",2006,"IBM","M","High",7,0.749307607,0.764221132,0.646235824,0.809269607,0.163033783,"R21721","Nadina",2.4,2.38,2.75,1.9,2.5,1.9,2.33,872.083801,"174","48",9,"SX",80,"PLI",15,"AT",5,"Sentinel 2",15,80,0,0,0,0,5,0,95,5,100,2006,"IBM","M",30,13766567,"9.30E+98",51476990,"N",15.8,"N","N","L","C","T","U","TC","SP",2013,2015-01-02,2016-01-01,1,40,8,"HE",3,20,NA,2,3,"RZ",NA,NA,"",NA,NA,"",3,"TC",100,5,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2007-01-01,NA,"N",NA,39.31,"",NA,25,2,11.6,29.988199,252,100,8,4,"SX",80,"PLI",15,"AT",5,"",NA,NA,NA,NA,NA,183,8,183,8,28.2,3,25.1,3,198.667,36.361,6.386,NA,241.414,NA,113.218,20.592,11.295,12.976,640246,5983718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943657.796584876,998025.996777428,TRUE
"56","BS043",2006,"IBM","M","High",7,0.749307607,0.764221132,0.646235824,0.809269607,0.163033783,"R21721","Nadina",2.4,2.38,2.75,1.9,2.5,1.9,2.33,872.083801,"174","48",9,"SX",80,"PLI",15,"AT",5,"Sentinel 2",15,80,0,0,0,0,5,0,95,5,100,2006,"IBM","M",30,13766583,"9.30E+98",49757259,"N",23.7,"N","N","M","C","T","U","TB","OP",2013,2015-01-02,2016-01-01,1,30,8,"HE",3,20,NA,3,5,"BR",NA,NA,"",NA,NA,"",5,"TB",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,18.526,"",NA,30,3,12.7,11.515779,511,2,8,2,"AT",80,"SX",20,"",NA,"",NA,NA,NA,NA,NA,38,2,38,2,9.6,1,8.1,1,16.907,3.894,NA,NA,20.801,NA,15.029,2.634,0.678,3.059,640246,5983718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943657.796584876,998025.996777428,TRUE
"59","BS044",2006,"IBM","M","High",7,0.70408013,0.740049005,0.528440475,0.819632888,0.291192412,"R11796","Nadina",1.9,2.38,2.88,2,2.35,2,2.25,858.703552,"192","35",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,13765902,"9.30E+98",49656949,"N",3.4,"N","N","M","C","T","U","TB","OP",2013,2015-01-02,2016-01-01,0.5,20,3,"HE",3,20,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,NA,"",NA,35,3,8.8,5,550,0,8,2,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,38,2,38,2,6.4,1,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639749,5983614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943158.1089449,997942.866962741,TRUE
"91","BS064",2006,"IBM","M","Unburned",4,0.04732655,0.048636615,0.021082103,0.070950866,0.049868762,"R21721","Nadina",1.7,2.13,2,1.5,1.92,1.5,1.81,923.626526,"355","2",9,"BL",50,"SX",20,"PLI",20,"Sentinel 2",20,20,50,0,0,0,10,0,90,10,100,2006,"IBM","M",30,13378078,"9.30E+101",3104710,"Y",11.2,"N","N","M","C","T","U","TC","SP",2007,2016-02-01,2016-01-01,0.3,15,3,"HF",3,15,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"Y",1970-12-01,17.927,"",NA,10,1,18.1,28.999241,2408,0,9,1,"PLI",70,"SX",20,"BL",10,"",NA,NA,NA,NA,NA,40,2,28,2,14,2,4.9,1,77.249,0,7.667,NA,84.916,NA,54.702,7.138,6.166,5.7,683359,5981520,-583580000,"FG",1970-12-01,1970-12-01,1974-01-01,"L",NA,NA,NA,1974-01-01,NA,NA,NA,NA,NA,1,"BU",11,1974-01-01,NA,0,NA,1,NA,0,NA,NA,0,NA,0,"MA",100,1987-09-01,1,98.4,1994-08-03,1,61.6,2012-10-15,2,40,1995-03-30,1,7.6,350.5,986525.920344804,993994.971757641,TRUE
"92","BS064",2006,"IBM","M","Unburned",4,0.04732655,0.048636615,0.021082103,0.070950866,0.049868762,"R21721","Nadina",1.7,2.13,2,1.5,1.92,1.5,1.81,923.626526,"355","2",9,"BL",50,"SX",20,"PLI",20,"Sentinel 2",20,20,50,0,0,0,10,0,90,10,100,2006,"IBM","M",30,13378902,"9.30E+101",684577,"Y",45.2,"N","N","M","C","T","U","TC","OP",2007,2016-03-22,2016-01-01,0.3,15,3,"HF",3,15,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"Y",1970-12-01,14.53,"BL",18,45,4,18,5.8993,664,0,9,1,"BL",50,"SX",20,"PLI",20,"AT",10,NA,NA,NA,NA,35,2,33,2,9,1,7.8,1,3.039,1.813,2.569,0.102,7.523,NA,9.027,1.797,1.425,1.17,683359,5981520,-583580000,"FG",1970-12-01,1970-12-01,1974-01-01,"L",NA,NA,NA,1974-01-01,NA,NA,NA,NA,NA,1,"BU",11,1974-01-01,NA,0,NA,1,NA,0,NA,NA,0,NA,0,"MA",100,1987-09-01,1,98.4,1994-08-03,1,61.6,2012-10-15,2,40,1995-03-30,1,7.6,350.5,986525.920344804,993994.971757641,TRUE
"93","BS066",2006,"IBM","L","Medium",6,0.327566077,0.332724392,0.231757879,0.431809843,0.200051963,"R21721","Nadina",2,1.75,3,1.8,2.23,1.8,2.11,918.252014,"340","2",9,"SX",95,"BL",5,"",0,"Sentinel 2",0,95,5,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13378367,"9.30E+101",88284145,"N",7.7,"N","N","L","C","T","W","TC","SP",2012,2016-02-05,2016-01-01,4,45,8,"",NA,NA,NA,2,1,"RI",NA,NA,"",NA,NA,"",1,"TC",100,7,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2012-01-01,58,"N",NA,26.791,"",NA,10,1,11.6,7.91956,149,180,8,3,"SX",95,"AT",5,"",NA,"",NA,NA,NA,NA,NA,184,8,164,8,28.3,3,26.2,3,53.866,1.805,NA,NA,55.671,97.874,25.977,5.103,2.594,3.068,680785,5980041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,983898.731547974,992622.513792139,TRUE
"94","BS066",2006,"IBM","L","Medium",6,0.327566077,0.332724392,0.231757879,0.431809843,0.200051963,"R21721","Nadina",2,1.75,3,1.8,2.23,1.8,2.11,918.252014,"340","2",9,"SX",95,"BL",5,"",0,"Sentinel 2",0,95,5,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13377767,"9.30E+101",87933845,"N",17.9,"N","N","M","C","T","U","TC","SP",2012,2016-03-22,2016-01-01,0.4,45,8,"HF",3,15,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2012-01-01,68,"N",NA,26.986,"",NA,10,1,11.4,12.81221,244,550,8,3,"SX",95,"BL",5,"",NA,"",NA,NA,NA,NA,NA,164,8,134,7,26.4,3,21.5,3,76.903,4.016,NA,NA,80.919,202.218,36.493,7.337,4.066,4.085,680785,5980041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,983898.731547974,992622.513792139,TRUE
"95","BS067",2006,"IBM","L","High",7,0.751578127,0.768857062,0.661518395,0.815770149,0.154251754,"R21721","Nadina",3,2.75,2.88,2.4,2.88,2.4,2.75,840.490051,"40","5",9,"PL",67,"SX",33,"",0,"Sentinel 2",67,33,0,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13378802,"9.30E+101",67414200,"N",2,"N","N","M","C","N","U","SL","OP",2012,2015-12-31,2016-01-01,0.3,45,8,"HE",8,45,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"N",NA,NA,"PLI",18,NA,NA,18,NA,NA,0,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677030,5980383,1215735,"APP",2008-10-31,2008-01-01,2018-08-31,"L","CLEAR",NA,"REMOV",2008-02-28,"B",NA,NA,NA,2018-08-31,2,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,980171.652379701,993124.435775642,TRUE
"96","BS067",2006,"IBM","L","High",7,0.751578127,0.768857062,0.661518395,0.815770149,0.154251754,"R21721","Nadina",3,2.75,2.88,2.4,2.88,2.4,2.75,840.490051,"40","5",9,"PL",67,"SX",33,"",0,"Sentinel 2",67,33,0,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13378235,"9.30E+101",66424170,"Y",0.7,"N","N","M","C","T","U","TC","SP",2009,2016-02-10,2016-01-01,0.3,25,3,"HF",3,25,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"N",2008-01-01,NA,"PLI",17,10,1,17,0,1050,0,9,1,"PLI",67,"SX",33,"",NA,"",NA,NA,NA,NA,NA,8,1,8,1,1.6,1,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677030,5980383,1215735,"APP",2008-10-31,2008-01-01,2018-08-31,"L","CLEAR",NA,"REMOV",2008-02-28,"B",NA,NA,NA,2018-08-31,2,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,980171.652379701,993124.435775642,TRUE
"97","BS068",2006,"IBM","M","High",7,0.907843334,0.898984432,0.855250955,0.970366478,0.115115523,"R21721","Nadina",2.9,2.63,2.88,2.7,2.81,2.7,2.78,860.243103,"90","12",9,"SX",75,"PLI",25,"",0,"Sentinel 2",25,75,0,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13766202,"9.30E+98",30816852,"N",28,"N","N","M","C","T","U","TC","SP",2014,2015-01-01,2016-01-01,0.7,40,8,"HE",3,20,10,2,4,"RZ",NA,NA,"",NA,NA,"",4,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2007-01-01,69,"N",NA,18.999,"",NA,15,1,8.1,9.03918,375,600,3,3,"SX",75,"PLI",25,"",NA,"",NA,NA,NA,NA,NA,132,7,148,8,17.3,2,22.3,3,24.569,17.453,NA,NA,42.022,134.14,22.456,3.67,2.293,2.382,636525,5983312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,939932.418870133,997776.977628153,TRUE
"98","BS069",2006,"IBM","M","Medium",7,0.356125955,0.391647041,0.1805287,0.475357562,0.294828862,"R21721","Nadina",1.7,2.5,2.88,1.1,2.31,1.1,1.97,876.067993,"220","13",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,13766105,"9.30E+98",35016925,"N",24,"N","N","M","C","T","U","TB","SP",2013,2015-01-01,2016-01-01,0.4,40,8,"HE",8,30,NA,2,4,"RZ",NA,NA,"",NA,NA,"",4,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,25.885,"",NA,15,1,11.9,10.19372,197,5,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,133,7,133,7,20.2,3,18.3,2,31.145,5.8,NA,NA,36.945,NA,32.089,5.569,1.305,6.755,636982,5983287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940386.791567742,997732.550221381,TRUE
